priority,action,kind,wp_path,gsc_clicks,gsc_impressions,existing_redirect,suggested_target,needs_yoann,note
P4_LONGTAIL,TODO_MANUAL,product_cat,/categorie-produit/gamme-mixte/les-volumes,0,5,,,YES,WP category without direct Shopify collection match
P4_LONGTAIL,TODO_MANUAL,product_cat,/categorie-produit/marketing-personnalisable,0,9,,,YES,WP category without direct Shopify collection match
P4_LONGTAIL,TODO_MANUAL,product_cat,/categorie-produit/gamme-mixte/masques,0,0,,,YES,WP category without direct Shopify collection match
P4_LONGTAIL,KEEP_EXISTING,product_cat,/categorie-produit/pack-de-lancement,0,27,/collections/all,,YES,WP category without direct Shopify collection match
P4_LONGTAIL,TODO_MANUAL,product_cat,/categorie-produit/gamme-mixte/shampoings,0,0,,,YES,WP category without direct Shopify collection match
P4_LONGTAIL,TODO_MANUAL,product_tag,/etiquette-produit/200ml,0,0,,,YES,WP tag — usually map to /collections/all or thematic collection
P4_LONGTAIL,TODO_MANUAL,product_tag,/etiquette-produit/50ml,0,18,,,YES,WP tag — usually map to /collections/all or thematic collection
P4_LONGTAIL,CREATE,product_tag,/etiquette-produit/coiffants,0,0,,/collections/coiffants,NO,
P4_LONGTAIL,TODO_MANUAL,product_tag,/etiquette-produit/masque-1l,0,0,,,YES,WP tag — usually map to /collections/all or thematic collection
P4_LONGTAIL,TODO_MANUAL,product_tag,/etiquette-produit/shampoing-1l,0,25,,,YES,WP tag — usually map to /collections/all or thematic collection
